date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:01	52929/52929	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202017%2009:55:36%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/index.html	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/index.html	(from )
17:16:02	457/457	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2017:26:25%20GMT	https://dsahathemes.in/robots.txt		(from )
17:16:02	741/741	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2017:26:25%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/favicon.png	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/favicon.png	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:02	741/741	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2017:26:25%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/apple-touch-icon.png	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/apple-touch-icon.png	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:02	113498/113498	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/css/bootstrap.min.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/css/bootstrap.min.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:02	4825/4825	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/css/jquery.fancybox.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/css/jquery.fancybox.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:03	2936/2936	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/css/owl.carousel.min.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/css/owl.carousel.min.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:03	57246/57246	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/css/theme.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/css/theme.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:03	20106/20106	---M--	200	added ('OK')	application/javascript	date:Sun,%2003%20Dec%202017%2009:55:38%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/js/modernizr-2.8.3-respond-1.4.2.min.js	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/js/modernizr-2.8.3-respond-1.4.2.min.js	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
17:16:03	29062/29062	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202017%2009:55:24%20GMT	https://dsahathemes.in/templates/deetemplate/website/dark/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/FACE@/dsahathemes.in/templates/deetemplate/website/dark/font-awesome/css/font-awesome.min.css	(from https://dsahathemes.in/templates/deetemplate/website/dark/index.html)
